IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
40.66.63.160,80,80,FALSE,CDG,Europe,Paris,150,8.33
172.190.150.25,8443,443,TRUE,IAD,North America,Ashburn,221,8.32
51.140.191.188,2086,2086,FALSE,LHR,Europe,London,154,8.3
20.200.126.106,8443,443,TRUE,YYZ,North America,Toronto,219,8.17
13.90.119.144,8443,443,TRUE,IAD,North America,Ashburn,223,8.15
20.151.237.104,8443,0,TRUE,YYZ,North America,Toronto,219,8.13
20.200.126.106,2053,443,TRUE,YYZ,North America,Toronto,404,8.07
20.75.178.96,443,443,TRUE,IAD,North America,Ashburn,223,7.92
13.90.119.144,2053,443,TRUE,IAD,North America,Ashburn,224,7.71
20.246.127.166,443,443,TRUE,IAD,North America,Ashburn,237,7.56
20.246.144.214,443,443,TRUE,IAD,North America,Ashburn,228,7.34
172.208.36.45,80,443,TRUE,IAD,North America,Ashburn,226,5.95
172.208.36.45,443,443,TRUE,IAD,North America,Ashburn,231,5.94
20.201.48.75,443,0,FALSE,GRU,South America,S?o Paulo,342,4.11
20.201.9.186,443,0,FALSE,GRU,South America,S?o Paulo,342,3.96
191.237.202.255,443,0,FALSE,GRU,South America,S?o Paulo,342,3.93
20.226.170.152,443,0,FALSE,GRU,South America,S?o Paulo,342,3.88
20.197.226.118,8443,443,TRUE,GRU,South America,S?o Paulo,358,3.58
191.237.205.178,443,0,FALSE,GRU,South America,S?o Paulo,342,3.43
13.78.116.99,443,443,TRUE,NRT,Asia Pacific,Tokyo,98,1.52
52.187.35.233,80,0,FALSE,SIN,Asia Pacific,Singapore,2,0.74
172.188.122.92,80,80,FALSE,SIN,Asia Pacific,Singapore,1,0.59
104.208.64.116,80,0,FALSE,HKG,Asia Pacific,Hong Kong,35,0.31
20.243.87.182,80,0,FALSE,NRT,Asia Pacific,Tokyo,67,0.18
51.11.142.112,80,0,FALSE,LHR,Europe,London,155,0.18
20.47.97.179,443,443,TRUE,AMS,Europe,Amsterdam,206,0.16
98.67.149.233,443,80,FALSE,FRA,Europe,Frankfurt,155,0.08
104.208.71.2,80,0,FALSE,HKG,Asia Pacific,Hong Kong,33,0.08
20.204.43.57,80,443,FALSE,BOM,Asia Pacific,Mumbai,54,0.07
20.2.87.94,80,0,FALSE,HKG,Asia Pacific,Hong Kong,35,0.06
20.102.24.191,80,0,FALSE,IAD,North America,Ashburn,218,0.06
40.115.253.187,80,0,FALSE,NRT,Asia Pacific,Tokyo,68,0.06
40.115.253.187,8080,0,FALSE,NRT,Asia Pacific,Tokyo,68,0.06
20.70.120.90,80,0,FALSE,SYD,Oceania,Sydney,85,0.06
20.2.87.94,443,0,FALSE,HKG,Asia Pacific,Hong Kong,33,0.05
52.184.217.63,80,0,FALSE,IAD,North America,Ashburn,220,0.05
20.46.53.222,80,0,FALSE,BOM,Asia Pacific,Mumbai,84,0.05
20.86.52.80,80,0,FALSE,AMS,Europe,Amsterdam,157,0.03
20.81.104.97,80,443,FALSE,IAD,North America,Ashburn,225,0.02
40.83.203.12,80,0,FALSE,SJC,North America,San Jose,168,0.01
52.236.148.143,80,0,FALSE,AMS,Europe,Amsterdam,157,0.01
